Bin_num,avg_dNdLogDP,sd,avg_bin_mid,sdL,sdH
1,204.19039046579596,84.54035819075874,27.94077486,119.65003227503722,288.7307486565547
2,277.92731934599203,132.77855427907198,29.929523579999998,145.14876506692005,410.705873625064
3,335.46603912228,104.75699157617908,32.06759202,230.70904754610092,440.22303069845907
4,320.00313792231003,83.94784587849523,34.36743456,236.0552920438148,403.95098380080526
5,370.24418522780195,63.92404817895524,36.84274164,306.32013704884673,434.16823340675717
6,509.64067708335597,82.1541460298983,39.50859294,427.48653105345767,591.7948231132543
7,517.7837552261041,137.07888901381227,42.381634680000005,380.7048662122918,654.8626442399163
8,602.1676960659399,121.77125177431762,45.48028518,480.3964442916223,723.9389478402576
9,566.543774970756,165.33690228918059,48.82496778,401.2068726815754,731.8806772599365
10,635.090755001248,110.51178358014627,52.43838714,524.5789714211018,745.6025385813942
11,618.234004361568,148.36784256503512,56.345847840000005,469.86616179653294,766.6018469266032
12,482.15043397200003,79.08267092089814,60.57562572,403.0677630511019,561.2331048928982
13,449.55698812440005,95.00158041041443,65.15940096,354.55540771398563,544.5585685348145
14,449.73279739018403,112.97604756765386,70.13276604,336.7567498225302,562.7088449578379
15,353.99568691931404,87.54173431188909,75.53581937999999,266.453952607425,441.5374212312031
16,357.06184080795003,151.1418212336554,81.41386068,205.92001957429463,508.2036620416054
17,478.263270006224,77.62166977824782,87.8182074,400.64160022797614,555.8849397844718
18,576.3271755384001,141.33409452256822,94.80714966000001,434.9930810158319,717.6612700609683
19,604.88890472328,124.88364848400207,102.44707038,480.00525623927797,729.772553207282
20,682.2345224962801,176.1936648573091,110.8137528,506.040857638971,858.4281873535892
21,690.338831311248,194.77531395397233,119.9939094,495.56351735727566,885.1141452652203
22,673.878896636036,67.09495794410817,130.08695256,606.7839386919278,740.9738545801441
23,675.6791151485339,115.79644848828508,141.2070507,559.8826666602488,791.4755636368191
24,589.428364650626,65.09385686935732,153.48548628,524.3345077812687,654.5222215199833
25,546.82496244736,125.67575523468136,167.073354,421.1492072126787,672.5007176820413
26,493.180234957932,155.64678417009532,182.14461252,337.53345078783667,648.8270191280274
27,447.38747956016005,144.65618982001897,198.8995095,302.73128974014105,592.043669380179
28,434.78212127745195,148.08954823488253,217.5844239,286.6925730425694,582.8716695123345
29,346.003309280668,84.37663939703816,238.43476026000002,261.62666988362986,430.3799486777062
30,228.95428343088403,53.20334014585136,261.7674759,175.7509432850327,282.1576235767354
