Datetime,Day_local,Time_local,Filename,Bin_num,Temp.C.,Press.hPa.,Bin_Mid,dNdLogDP,logbinsize,total_conc,total_area,total_volume,Bin_L,Bin_U,Location,Date,Time
2023-03-18T02:31:37Z,230318,12:31:37,230318B,28,31,1023.3,217.5235659,581.4536670650599,0.09064150083630196,1480.61582844554,73.00352964275412,2.082264560316233,207.97479834964406,227.70670321020583,SB,2023-03-18,02:31:37
2023-03-18T02:31:37Z,230318,12:31:37,230318B,29,31,1023.3,238.3665534,410.52794401312,0.09242861621945142,1480.61582844554,73.00352964275412,2.082264560316233,227.70670321020583,249.75664596269007,SB,2023-03-18,02:31:37
2023-03-18T02:31:37Z,230318,12:31:37,230318B,30,31,1023.3,261.691002,394.27393784164,0.09335479685600312,1480.61582844554,73.00352964275412,2.082264560316233,249.75664596269007,274.1956285639512,SB,2023-03-18,02:31:37
2023-03-18T02:32:10Z,230318,12:32:10,230318B,1,30.9,1023.3,27.9547011,265.113672761,0.06875527678141058,1523.2158204152372,60.35566319609762,1.5975886181032073,27.010015558908364,28.93242737628119,SB,2023-03-18,02:32:10
2023-03-18T02:32:10Z,230318,12:32:10,230318B,2,30.9,1023.3,29.944350000000004,455.7113753469501,0.06887616801395158,1523.2158204152372,60.35566319609762,1.5975886181032073,28.93242737628119,30.995411848437747,SB,2023-03-18,02:32:10
2023-03-18T02:32:10Z,230318,12:32:10,230318B,3,30.9,1023.3,32.0833665,430.22478258895,0.06912831856107537,1523.2158204152372,60.35566319609762,1.5975886181032073,30.995411848437747,33.213868254231684,SB,2023-03-18,02:32:10
2023-03-18T02:32:10Z,230318,12:32:10,230318B,4,30.9,1023.3,34.384204800000006,452.54039968020004,0.06940215491282853,1523.2158204152372,60.35566319609762,1.5975886181032073,33.213868254231684,35.600855273863964,SB,2023-03-18,02:32:10
2023-03-18T02:32:10Z,230318,12:32:10,230318B,5,30.9,1023.3,36.8605557,425.69246090305,0.0696996402017831,1523.2158204152372,60.35566319609762,1.5975886181032073,35.600855273863964,38.17074186256441,SB,2023-03-18,02:32:10
2023-03-18T02:32:10Z,230318,12:32:10,230318B,6,30.9,1023.3,39.5274978,796.5894343157399,0.07002293790891034,1523.2158204152372,60.35566319609762,1.5975886181032073,38.17074186256441,40.939371984958584,SB,2023-03-18,02:32:10
2023-03-18T02:32:10Z,230318,12:32:10,230318B,7,30.9,1023.3,42.4016766,698.8655375344799,0.07037442498163404,1523.2158204152372,60.35566319609762,1.5975886181032073,40.939371984958584,43.92425464894228,SB,2023-03-18,02:32:10
2023-03-18T02:32:10Z,230318,12:32:10,230318B,8,30.9,1023.3,45.5015061,705.4734078236999,0.07075669001403462,1523.2158204152372,60.35566319609762,1.5975886181032073,43.92425464894228,47.144782959292314,SB,2023-03-18,02:32:10
2023-03-18T02:32:10Z,230318,12:32:10,230318B,9,30.9,1023.3,48.8474064,960.5925420043301,0.07117256389016058,1523.2158204152372,60.35566319609762,1.5975886181032073,47.144782959292314,50.62248874263936,SB,2023-03-18,02:32:10
2023-03-18T02:32:10Z,230318,12:32:10,230318B,10,30.9,1023.3,52.4620764,1345.56492188272,0.07162513095262835,1523.2158204152372,60.35566319609762,1.5975886181032073,50.62248874263936,54.38133835508837,SB,2023-03-18,02:32:10
2023-03-18T02:32:10Z,230318,12:32:10,230318B,11,30.9,1023.3,56.370814200000005,958.28293772638,0.07211770875597123,1523.2158204152372,60.35566319609762,1.5975886181032073,54.38133835508837,58.44807532598028,SB,2023-03-18,02:32:10
2023-03-18T02:32:10Z,230318,12:32:10,230318B,12,30.9,1023.3,60.6018834,859.6637669235,0.07265389248293186,1523.2158204152372,60.35566319609762,1.5975886181032073,58.44807532598028,62.85262192212797,SB,2023-03-18,02:32:10
2023-03-18T02:32:10Z,230318,12:32:10,230318B,13,30.9,1023.3,65.1869523,677.424090759,0.07323756271739867,1523.2158204152372,60.35566319609762,1.5975886181032073,62.85262192212797,67.62854884043104,SB,2023-03-18,02:32:10
2023-03-18T02:32:10Z,230318,12:32:10,230318B,14,30.9,1023.3,70.1615961,623.49993139952,0.07387284790725168,1523.2158204152372,60.35566319609762,1.5975886181032073,67.62854884043104,72.81362264407217,SB,2023-03-18,02:32:10
2023-03-18T02:32:10Z,230318,12:32:10,230318B,15,30.9,1023.3,75.5658927,722.94008281121,0.0745641235316663,1523.2158204152372,60.35566319609762,1.5975886181032073,72.81362264407217,78.45044765905851,SB,2023-03-18,02:32:10
2023-03-18T02:32:10Z,230318,12:32:10,230318B,16,30.9,1023.3,81.4451139,712.11261456925,0.07531599245891485,1523.2158204152372,60.35566319609762,1.5975886181032073,78.45044765905851,84.5872188621603,SB,2023-03-18,02:32:10
2023-03-18T02:32:10Z,230318,12:32:10,230318B,17,30.9,1023.3,87.8505444,633.2298401364001,0.07613324176347991,1523.2158204152372,60.35566319609762,1.5975886181032073,84.5872188621603,91.27860471636703,SB,2023-03-18,02:32:10
2023-03-18T02:32:10Z,230318,12:32:10,230318B,18,30.9,1023.3,94.8404331,810.50328216,0.07702076064079844,1523.2158204152372,60.35566319609762,1.5975886181032073,91.27860471636703,98.58678047157585,SB,2023-03-18,02:32:10
2023-03-18T02:32:10Z,230318,12:32:10,230318B,19,30.9,1023.3,102.48111449999999,797.181112365,0.07798343159760712,1523.2158204152372,60.35566319609762,1.5975886181032073,98.58678047157585,106.58263629451847,SB,2023-03-18,02:32:10
2023-03-18T02:32:10Z,230318,12:32:10,230318B,20,30.9,1023.3,110.8483101,726.88768564932,0.07902600447260788,1523.2158204152372,60.35566319609762,1.5975886181032073,106.58263629451847,115.34718915939672,SB,2023-03-18,02:32:10
2023-03-18T02:32:10Z,230318,12:32:10,230318B,21,30.9,1023.3,120.02865929999999,897.98775618232,0.08015291921600376,1523.2158204152372,60.35566319609762,1.5975886181032073,115.34718915939672,124.97322765589587,SB,2023-03-18,02:32:10
2023-03-18T02:32:10Z,230318,12:32:10,230318B,22,30.9,1023.3,130.121487,717.6480387041901,0.08136805626845778,1523.2158204152372,60.35566319609762,1.5975886181032073,124.97322765589587,135.56721810327758,SB,2023-03-18,02:32:10
2023-03-18T02:32:10Z,230318,12:32:10,230318B,23,30.9,1023.3,141.24085920000002,636.8940536812,0.0826744345930539,1523.2158204152372,60.35566319609762,1.5975886181032073,135.56721810327758,147.25150253779245,SB,2023-03-18,02:32:10
2023-03-18T02:32:10Z,230318,12:32:10,230318B,24,30.9,1023.3,153.51793469999998,868.91216009959,0.08407386539347073,1523.2158204152372,60.35566319609762,1.5975886181032073,147.25150253779245,160.1668191650533,SB,2023-03-18,02:32:10
2023-03-18T02:32:10Z,230318,12:32:10,230318B,25,30.9,1023.3,167.10366779999998,741.53010167368,0.08556654755513637,1523.2158204152372,60.35566319609762,1.5975886181032073,160.1668191650533,174.4751700289062,SB,2023-03-18,02:32:10
2023-03-18T02:32:10Z,230318,12:32:10,230318B,26,30.9,1023.3,182.1718539,605.4062831844,0.08715060078923731,1523.2158204152372,60.35566319609762,1.5975886181032073,174.4751700289062,190.36305034477377,SB,2023-03-18,02:32:10
2023-03-18T02:32:10Z,230318,12:32:10,230318B,27,30.9,1023.3,198.9225567,515.6595096548001,0.08885828564410936,1523.2158204152372,60.35566319609762,1.5975886181032073,190.36305034477377,208.05268187008966,SB,2023-03-18,02:32:10
2023-03-18T02:32:10Z,230318,12:32:10,230318B,28,30.9,1023.3,217.6018605,394.69305026992,0.09061177500051532,1523.2158204152372,60.35566319609762,1.5975886181032073,208.05268187008966,227.7852048342187,SB,2023-03-18,02:32:10
2023-03-18T02:32:10Z,230318,12:32:10,230318B,29,30.9,1023.3,238.4451099,323.12064307788,0.0923975675523705,1523.2158204152372,60.35566319609762,1.5975886181032073,227.7852048342187,249.83499211518458,SB,2023-03-18,02:32:10
2023-03-18T02:32:10Z,230318,12:32:10,230318B,30,30.9,1023.3,261.7689384,154.36143957903002,0.09332306347122987,1523.2158204152372,60.35566319609762,1.5975886181032073,249.83499211518458,274.2729372331919,SB,2023-03-18,02:32:10
2023-03-18T02:32:43Z,230318,12:32:43,230318B,1,30.7,1023.3,27.9414648,16.52744883734,0.06875175126555977,1403.1305283248362,69.5813236003908,1.9760754275414254,26.99727414864793,28.91867715499489,SB,2023-03-18,02:32:43
2023-03-18T02:32:43Z,230318,12:32:43,230318B,2,30.7,1023.3,29.9300661,24.750831895650002,0.06887266119159863,1403.1305283248362,69.5813236003908,1.9760754275414254,28.91867715499489,30.980572544152917,SB,2023-03-18,02:32:43
2023-03-18T02:32:43Z,230318,12:32:43,230318B,3,30.7,1023.3,32.0679504,112.48248210215002,0.06912482511531381,1403.1305283248362,69.5813236003908,1.9760754275414254,30.980572544152917,33.19785087089343,SB,2023-03-18,02:32:43
2023-03-18T02:32:43Z,230318,12:32:43,230318B,4,30.7,1023.3,34.367562899999996,273.69672120120003,0.0693986799481201,1403.1305283248362,69.5813236003908,1.9760754275414254,33.19785087089343,35.58356311452721,SB,2023-03-18,02:32:43
2023-03-18T02:32:43Z,230318,12:32:43,230318B,5,30.7,1023.3,36.8425881,438.22101926407,0.06969618833324542,1403.1305283248362,69.5813236003908,1.9760754275414254,35.58356311452721,38.15206975367868,SB,2023-03-18,02:32:43
2023-03-18T02:32:43Z,230318,12:32:43,230318B,6,30.7,1023.3,39.508093800000005,674.9185697740199,0.07001950956524716,1403.1305283248362,69.5813236003908,1.9760754275414254,38.15206975367868,40.91920525071928,SB,2023-03-18,02:32:43
2023-03-18T02:32:43Z,230318,12:32:43,230318B,7,30.7,1023.3,42.3807174,412.32437516844004,0.07037102597791689,1403.1305283248362,69.5813236003908,1.9760754275414254,40.91920525071928,43.90246833662521,SB,2023-03-18,02:32:43
2023-03-18T02:32:43Z,230318,12:32:43,230318B,8,30.7,1023.3,45.4788603,422.06425373134994,0.07075331796277107,1403.1305283248362,69.5813236003908,1.9760754275414254,43.90246833662521,47.121240378078205,SB,2023-03-18,02:32:43
2023-03-18T02:32:43Z,230318,12:32:43,230318B,9,30.7,1023.3,48.8229318,810.53867762946,0.07116922676125048,1403.1305283248362,69.5813236003908,1.9760754275414254,47.121240378078205,50.59704065840374,SB,2023-03-18,02:32:43
2023-03-18T02:32:43Z,230318,12:32:43,230318B,10,30.7,1023.3,52.4356164,487.76748909,0.07162181145292479,1403.1305283248362,69.5813236003908,1.9760754275414254,50.59704065840374,54.35382025754597,SB,2023-03-18,02:32:43
2023-03-18T02:32:43Z,230318,12:32:43,230318B,11,30.7,1023.3,56.342196,782.55954112196,0.0721144219444878,1403.1305283248362,69.5813236003908,1.9760754275414254,54.35382025754597,58.41830736397522,SB,2023-03-18,02:32:43
2023-03-18T02:32:43Z,230318,12:32:43,230318B,12,30.7,1023.3,60.570919800000006,1008.10039449,0.0726506398321698,1403.1305283248362,69.5813236003908,1.9760754275414254,58.41830736397522,62.82040636444541,SB,2023-03-18,02:32:43
2023-03-18T02:32:43Z,230318,12:32:43,230318B,13,30.7,1023.3,65.1534345,1119.5688291075,0.07323432914524375,1403.1305283248362,69.5813236003908,1.9760754275414254,62.82040636444541,67.59366677814057,SB,2023-03-18,02:32:43
2023-03-18T02:32:43Z,230318,12:32:43,230318B,14,30.7,1023.3,70.1252946,800.82300081294,0.07386963407604252,1403.1305283248362,69.5813236003908,1.9760754275414254,67.59366677814057,72.77583228807799,SB,2023-03-18,02:32:43
2023-03-18T02:32:43Z,230318,12:32:43,230318B,15,30.7,1023.3,75.5265528,536.53473527071,0.07456093797727625,1403.1305283248362,69.5813236003908,1.9760754275414254,72.77583228807799,78.40948200616882,SB,2023-03-18,02:32:43
2023-03-18T02:32:43Z,230318,12:32:43,230318B,16,30.7,1023.3,81.4024557,518.7351933615,0.07531283566193547,1403.1305283248362,69.5813236003908,1.9760754275414254,78.40948200616882,84.54278179412047,SB,2023-03-18,02:32:43
2023-03-18T02:32:43Z,230318,12:32:43,230318B,17,30.7,1023.3,87.8042547,536.15871984076,0.07613010651023178,1403.1305283248362,69.5813236003908,1.9760754275414254,84.54278179412047,91.23036636346967,SB,2023-03-18,02:32:43
