Datetime,Day_local,Time_local,Filename,Bin_num,Temp.C.,Press.hPa.,Bin_Mid,dNdLogDP,logbinsize,total_conc,total_area,total_volume,Bin_L,Bin_U,Location,Date,Time
2023-03-18T02:16:13Z,230318,12:16:13,230318B,21,31.2,1023.6,119.9794374,807.1134073784801,0.08017795675788264,1288.0466793066855,55.11717519445747,1.4769022886797876,115.2984433819989,124.9235416492679,OW,2023-03-18,02:16:13
2023-03-18T02:16:13Z,230318,12:16:13,230318B,22,31.2,1023.6,130.0713822,716.14123010417,0.08139312522612485,1288.0466793066855,55.11717519445747,1.4769022886797876,124.9235416492679,135.51671743018613,OW,2023-03-18,02:16:13
2023-03-18T02:16:13Z,230318,12:16:13,230318B,23,31.2,1023.6,141.1900173,1047.33461555779,0.08269964389888962,1288.0466793066855,55.11717519445747,1.4769022886797876,135.51671743018613,147.200360078464,OW,2023-03-18,02:16:13
2023-03-18T02:16:13Z,230318,12:16:13,230318B,24,31.2,1023.6,153.4665582,717.78886560535,0.08409934412431319,1288.0466793066855,55.11717519445747,1.4769022886797876,147.200360078464,160.1152705216567,OW,2023-03-18,02:16:13
2023-03-18T02:16:13Z,230318,12:16:13,230318B,25,31.2,1023.6,167.0520285,475.88453835807996,0.08559244526916387,1288.0466793066855,55.11717519445747,1.4769022886797876,160.1152705216567,174.42353344864546,OW,2023-03-18,02:16:13
2023-03-18T02:16:13Z,230318,12:16:13,230318B,26,31.2,1023.6,182.1203208,595.3443206434399,0.08717709709920296,1288.0466793066855,55.11717519445747,1.4769022886797876,174.42353344864546,190.31175417923262,OW,2023-03-18,02:16:13
2023-03-18T02:16:13Z,230318,12:16:13,230318B,27,31.2,1023.6,198.871623,535.9024714008,0.08888549940904245,1288.0466793066855,55.11717519445747,1.4769022886797876,190.31175417923262,208.00227941738999,OW,2023-03-18,02:16:13
2023-03-18T02:16:13Z,230318,12:16:13,230318B,28,31.2,1023.6,217.5521454,325.74598274223996,0.09064000315985155,1288.0466793066855,55.11717519445747,1.4769022886797876,208.00227941738999,227.7364505075749,OW,2023-03-18,02:16:13
2023-03-18T02:16:13Z,230318,12:16:13,230318B,29,31.2,1023.6,238.3975152,223.95899859026,0.09242711393196767,1288.0466793066855,55.11717519445747,1.4769022886797876,227.7364505075749,249.78889857989816,OW,2023-03-18,02:16:13
2023-03-18T02:16:13Z,230318,12:16:13,230318B,30,31.2,1023.6,261.72459810000004,204.00353214377003,0.09335328630491535,1288.0466793066855,55.11717519445747,1.4769022886797876,249.78889857989816,274.23062289814305,OW,2023-03-18,02:16:13
