Datetime,Day_local,Time_local,Filename,Bin_num,Temp.C.,Press.hPa.,Bin_Mid,dNdLogDP,logbinsize,total_conc,total_area,total_volume,Bin_L,Bin_U,Location,Date,Time
2023-03-17T23:52:39Z,230318,09:52:39,230318A,29,30.8,1024.1,238.3521813,373.01336983280004,0.09241358587925586,1313.8337598285007,60.91633995853057,1.719136043602523,227.69463511915276,249.73965555974684,SB,2023-03-17,23:52:39
2023-03-17T23:52:39Z,230318,09:52:39,230318A,30,30.8,1024.1,261.6711759,232.75419531520004,0.0933393284279953,1313.8337598285007,60.91633995853057,1.719136043602523,249.73965555974684,274.1727345760184,SB,2023-03-17,23:52:39
2023-03-17T23:54:18Z,230318,09:54:18,230318A,1,30.5,1024.2,27.945792,78.58375549527999,0.06876046459509944,1002.0406277818935,51.90591082546621,1.523422116300178,27.001337489008232,28.92328170132987,SB,2023-03-17,23:54:18
2023-03-17T23:54:18Z,230318,09:54:18,230318A,2,30.5,1024.2,29.9349621,135.09890834161,0.06888161173421947,1002.0406277818935,51.90591082546621,1.523422116300178,28.92328170132987,30.985782731967557,SB,2023-03-17,23:54:18
2023-03-17T23:54:18Z,230318,09:54:18,230318A,3,30.5,1024.2,32.0734908,158.72320645530002,0.06913432237571682,1002.0406277818935,51.90591082546621,1.523422116300178,30.985782731967557,33.203749294795664,SB,2023-03-17,23:54:18
2023-03-17T23:54:18Z,230318,09:54:18,230318A,4,30.5,1024.2,34.3738377,295.02083355735004,0.06940877216594732,1002.0406277818935,51.90591082546621,1.523422116300178,33.203749294795664,35.59024460223538,SB,2023-03-17,23:54:18
2023-03-17T23:54:18Z,230318,09:54:18,230318A,5,30.5,1024.2,36.8496972,375.64005501661,0.06970691755774228,1002.0406277818935,51.90591082546621,1.523422116300178,35.59024460223538,38.15964294831957,SB,2023-03-17,23:54:18
2023-03-17T23:54:18Z,230318,09:54:18,230318A,6,30.5,1024.2,39.5161551,493.90991640978,0.07003092833893465,1002.0406277818935,51.90591082546621,1.523422116300178,38.15964294831957,40.92779506495533,SB,2023-03-17,23:54:18
2023-03-17T23:54:18Z,230318,09:54:18,230318A,7,30.5,1024.2,42.3898632,451.54698401124,0.07038320718546176,1002.0406277818935,51.90591082546621,1.523422116300178,40.92779506495533,43.91221930203323,SB,2023-03-17,23:54:18
2023-03-17T23:54:18Z,230318,09:54:18,230318A,8,30.5,1024.2,45.4892481,572.33608914585,0.07076634127816561,1002.0406277818935,51.90591082546621,1.523422116300178,43.91221930203323,47.132320064485945,SB,2023-03-17,23:54:18
